STATE_ABBR,EVAL_GRP_YEAR,total_removal,total_growth,total_mortality,total_inventory,total_hardwood,region
NC,2016,32798942,78765761,8755347,2000957907,22898357268,R8
ND,1980,0,853791,26783,32266087,227939420,R2
ND,1995,164964,1151962,259929,55641843,441766604,R2
ND,2006,3047608,6541803,608032,82666957,359411159,R2
ND,2007,1452868,2620633,271690,75658512,325782992,R2
ND,2008,1222921,1809500,165774,67315720,340070881,R2
ND,2009,1114135,2268774,178748,65206843,317000786,R2
ND,2010,939563,2088702,189659,65660690,331932511,R2
ND,2011,367554,1616683,56522,62715021,322091956,R2
ND,2012,368842,1680753,57237,63465774,332272215,R2
ND,2013,368440,1698554,59331,64413187,357111287,R2
ND,2014,259143,1508946,191844,64491969,351744087,R2
ND,2015,48782,1427696,147569,64674750,357412859,R2
ND,2016,48782,1422243,147569,64705338,359345359,R2
NE,1983,0,548358,73679,39541899,291836066,R2
NE,1994,162896,2415197,653988,112688216,852045607,R2
NE,2006,317404,2291197,0,78132798,567675555,R2
NE,2007,417941,2679773,484135,116842319,846777727,R2
NE,2008,301903,2295078,792615,107767239,695585689,R2
NE,2009,198083,3120503,1716407,111687172,824487095,R2
NE,2010,206024,2736187,1377065,108576376,809053885,R2
NE,2011,142674,4050537,1534317,110993282,815328031,R2
NE,2012,46262,4084116,1743912,98231740,753062567,R2
NE,2013,43935,4088123,1461294,93976364,727863657,R2
NE,2014,43096,3842335,1005356,80356117,678746266,R2
NE,2015,0,3146551,1797768,70881972,674349932,R2
NE,2016,933270,3089554,1758973,65599163,616527484,R2
NH,1997,1282512,1218568,120424,75523828,5272557398,R9
NH,2006,315236,1115512,406725,69749724,5505215744,R9
NH,2007,427906,1488996,385752,70656737,5561383676,R9
NH,2008,0,1058536,142654,69083195,5614272309,R9
NH,2009,0,1884244,110424,80623907,5653910585,R9
NH,2010,114289,1516486,200937,82024942,5683254204,R9
NH,2011,81553,1645378,170541,85243489,5564753203,R9
NH,2012,114293,1548053,136984,86514013,5536677334,R9
NH,2013,108931,1552963,89712,79333775,5463740605,R9
NH,2014,111277,1274856,90811,68038889,5409114498,R9
NH,2015,112897,1255865,90844,67100157,5351693693,R9
NH,2016,48192,1244428,21548,68479416,5443798397,R9
NJ,1987,642271,5284716,1208647,198379843,1862567905,R9
NJ,1999,3419559,2742666,1908097,186723755,2251120725,R9
NJ,2006,0,5415228,381430,232826901,2554041290,R9
NJ,2008,286896,4636051,273411,222615664,2346431378,R9
NJ,2009,3857188,7364602,2533047,230602719,2323731551,R9
NJ,2010,2862584,6992800,1993554,228117781,2333404704,R9
NJ,2011,1862719,5785168,2718911,218147929,2362368323,R9
NJ,2012,1618729,4965463,2212792,237366519,2397547391,R9
NJ,2013,1388765,4560757,2148691,227960065,2486624112,R9
NJ,2014,292090,5179151,2877025,228963778,2524529577,R9
NJ,2015,208864,4391434,2784678,234195882,2452774115,R9
NJ,2016,210124,4577373,2468760,234840371,2446465454,R9
NY,1993,3449462,5414904,2036370,273780769,16604086183,R9
NY,2006,4632151,8181723,644713,452546464,22389965501,R9
NY,2007,5781759,8827356,1057943,422526977,22427149261,R9
NY,2008,129999,12039364,4540399,438509573,22468564320,R9
NY,2009,1133072,11648657,3127305,444973203,22579596873,R9
NY,2010,1041735,11347656,2752766,443422841,22589587372,R9
NY,2011,809397,10458716,2592437,462231310,22797882076,R9
NY,2012,656830,10596339,2237222,465000543,22813874999,R9
NY,2013,912189,11112959,1666863,498041267,22857905914,R9
NY,2014,1186934,10531709,2248032,498506350,22931099714,R9
NY,2015,1097537,10618572,2569874,513572528,23105906069,R9
NY,2016,1015643,10984958,2800375,524338775,23436186249,R9
OH,1991,15040627,22895134,2205052,949319101,9883447254,R9
OH,2007,15022804,25007143,9374411,1103146979,13382924853,R9
OH,2008,20661890,26665258,8725003,1092180909,13399835826,R9
OH,2009,19550931,24214668,7776175,1068619952,13235521635,R9
OH,2010,17618431,23807992,7703594,1060855697,13201801764,R9
OH,2011,15529215,23340577,6711182,1062752856,13035823706,R9
OH,2012,13991773,22188094,5740839,1038156456,12984926471,R9
OH,2013,12642741,21215780,4853233,1031449271,12948219630,R9
OH,2014,16173850,20939301,5795712,979927434,13077120593,R9
OH,2015,16755112,21301169,5866209,994540784,13137217221,R9
OH,2016,15681168,20981188,6883633,985821032,13052203969,R9
OK,1976,1453243,3729872,374937,96776133,1044156091,R8
OK,1986,1909025,3860801,424600,115578912,1277426912,R8
OK,1989,0,3013784,0,31612346,599158222,R8
OK,1993,2415901,3739539,442309,126526775,1606684644,R8
OK,2008,3099330,4714422,1079096,213367972,2130015017,R8
OK,2010,3888529,3655587,467895,208116369,2118527791,R8
OK,2011,5770051,7576820,634830,209577914,2132454888,R8
OK,2012,5024059,7481570,690394,219356916,2127277660,R8
OK,2013,4395782,7136589,654374,219674362,2122748713,R8
OK,2014,3825144,6814903,637646,223438047,2061020739,R8
