years,sim_number,value
2057,q975,61738186540.453735
2058,q975,64387647158.396355
2059,q975,67210209776.44816
2060,q975,70207866468.87077
2061,q975,73373409237.92154
2062,q975,76747964018.04095
2063,q975,80321791910.76347
2064,q975,84145420409.91635
2014,q025,19763625725
2015,q025,19966218004.549557
2016,q025,20172218804.838207
2017,q025,20374174893.054012
2018,q025,20578235065.041565
2019,q025,20777418704.74479
2020,q025,20972217213.182602
2021,q025,21168742790.41741
2022,q025,21362632715.461067
2023,q025,21556205546.966167
2024,q025,21749221756.671196
2025,q025,21939510137.25612
2026,q025,22126835787.628838
2027,q025,22308325809.82081
2028,q025,22489866995.57409
2029,q025,22668539854.20092
2030,q025,22845362097.85701
2031,q025,23022159040.360886
2032,q025,23193487203.158077
2033,q025,23362431289.90202
2034,q025,23528162207.995743
2035,q025,23689658473.25964
2036,q025,23849659620.87832
2037,q025,23999356570.5886
2038,q025,24153797231.550846
2039,q025,24303083262.178925
2040,q025,24451097516.151016
2041,q025,24593404564.63546
2042,q025,24732106240.15238
2043,q025,24869744877.458626
2044,q025,25003363363.89567
2045,q025,25136057135.684307
2046,q025,25264797536.100414
2047,q025,25389214123.982597
2048,q025,25510757311.57825
2049,q025,25628511951.95102
2050,q025,25740177671.55883
2051,q025,25848793180.944633
2052,q025,25951937757.235992
2053,q025,26048368925.344574
2054,q025,26145884370.287796
2055,q025,26239079743.187912
2056,q025,26326532387.95945
2057,q025,26409704039.64714
2058,q025,26482014167.81875
2059,q025,26550739465.158035
2060,q025,26618608529.578384
2061,q025,26684387314.079826
2062,q025,26746126911.928192
2063,q025,26798626400.223564
2064,q025,26842814727.96078
2014,V2,19763625725
2015,V2,19976493885.2008
2016,V2,20192416552.822586
2017,V2,20418181944.774895
2018,V2,20648876246.08691
2019,V2,20886093367.997673
2020,V2,21129235070.434544
2021,V2,21376567648.722195
2022,V2,21626544852.290825
2023,V2,21882712346.3217
2024,V2,22138837304.934574
2025,V2,22413281616.338673
2026,V2,22692521106.56289
2027,V2,22980945754.01979
2028,V2,23276636654.43437
2029,V2,23579412479.004837
2030,V2,23888965836.952732
2031,V2,24207234988.236744
2032,V2,24533536851.85197
2033,V2,24867574120.526432
2034,V2,25210113875.747307
2035,V2,25560703021.46448
2036,V2,25906397099.85036
2037,V2,26272263778.5385
2038,V2,26636502673.85815
2039,V2,27009104713.07611
2040,V2,27402914108.94918
2041,V2,27809942640.35697
2042,V2,28220847232.958908
2043,V2,28648614051.429417
2044,V2,29071122905.576683
2045,V2,29505464224.41091
2046,V2,29953527707.28971
2047,V2,30425875546.63979
2048,V2,30910553118.13686
2049,V2,31406678969.30936
2050,V2,31915553887.99795
2051,V2,32424019179.242714
2052,V2,32958423403.01521
2053,V2,33475244778.84059
2054,V2,34033655596.451862
2055,V2,34606643046.08892
2056,V2,35200077910.55527
2057,V2,35806236862.289925
2058,V2,36424984345.557846
2059,V2,37066353873.98874
2060,V2,37704709105.618805
2061,V2,38379943426.18558
2062,V2,39073126167.176216
2063,V2,39784875751.45636
2064,V2,40515669843.37906
2014,V3,19763625725
2015,V3,19982479504.01497
2016,V3,20211077500.858044
2017,V3,20449371326.926258
2018,V3,20697025029.53771
2019,V3,20954378433.204556
2020,V3,21217329795.231342
2021,V3,21497683202.63587
2022,V3,21782586913.306202
2023,V3,22086304956.245533
2024,V3,22402375928.32873
2025,V3,22731009198.496506
2026,V3,23072541225.51572
2027,V3,23427512186.51981
2028,V3,23794757825.90164
2029,V3,24177884075.474033
2030,V3,24559868885.456604
2031,V3,24967607985.71047
2032,V3,25395490762.08775
2033,V3,25840390394.0341
