years,sim_number,value
2019,q025,37078245846.06579
2020,q025,37294231278.18259
2021,q025,37467735670.637405
2022,q025,37653693768.75033
2023,q025,37824954802.89479
2024,q025,37974252002.71611
2025,q025,38068073898.73743
2026,q025,38156766626.8569
2027,q025,38235705596.70448
2028,q025,38266799237.638
2029,q025,38309266867.679665
2030,q025,38360697012.94585
2031,q025,38354567462.80817
2032,q025,38281248250.69394
2033,q025,38318194569.847885
2034,q025,38239293786.16791
2035,q025,38187358302.25818
2036,q025,38120746785.202225
2037,q025,37924267156.616
2038,q025,37777758425.60155
2039,q025,37690486024.50298
2040,q025,37566226910.67966
2041,q025,37391574098.81868
2042,q025,37217936246.45715
2043,q025,37070498226.62149
2044,q025,36897073813.4969
2045,q025,36718004979.06761
2046,q025,36490843597.92374
2047,q025,36254868873.52805
2048,q025,35970734345.84784
2049,q025,35799360170.126175
2050,q025,35548057767.81737
2051,q025,35308909876.63784
2052,q025,34980431639.36323
2053,q025,34772500996.60329
2054,q025,34406185387.640625
2055,q025,34127417543.70079
2056,q025,33868113907.266293
2057,q025,33569620479.389854
2058,q025,33231162026.855362
2059,q025,32872775913.554474
2060,q025,32487036769.574333
2061,q025,32157765786.26908
2062,q025,31816277241.231384
2063,q025,31376223163.459282
2064,q025,31005988029.47814
2014,V2,35960454585
2015,V2,36310889838.4977
2016,V2,36509941460.56371
2017,V2,36835527025.059044
2018,V2,37148688035.44266
2019,V2,37448781716.63415
2020,V2,37736606765.41728
2021,V2,38005983051.63392
2022,V2,38018686380.50238
2023,V2,38256392261.03706
2024,V2,38491883920.58632
2025,V2,38706068228.11499
2026,V2,38914081913.52412
2027,V2,39111339451.9072
2028,V2,39291832973.985115
2029,V2,39451631434.94319
2030,V2,39605878219.8103
2031,V2,39750762275.34702
2032,V2,39886871178.5858
2033,V2,40002023996.10425
2034,V2,40115326252.757614
2035,V2,40216249818.82789
2036,V2,40308253830.854126
2037,V2,40391171074.8226
2038,V2,40465219026.810974
2039,V2,40530245308.451355
2040,V2,40576532133.70893
2041,V2,40626431976.55737
2042,V2,40656126924.24149
2043,V2,40692899392.58295
2044,V2,40719322576.52394
2045,V2,40757325781.87863
2046,V2,40788578460.587166
2047,V2,40832010180.199356
2048,V2,40867030492.90802
2049,V2,40887709915.150024
2050,V2,40907255594.37028
2051,V2,40918277346.02326
2052,V2,40900004325.65216
2053,V2,40892144749.34824
2054,V2,40867304719.69388
2055,V2,40840433049.49091
2056,V2,40783958142.23047
2057,V2,40658946971.1027
2058,V2,40601745038.86226
2059,V2,40533235636.923676
2060,V2,40453795615.29126
2061,V2,40353810758.0167
2062,V2,40251465067.34381
2063,V2,40137127569.34108
2064,V2,40010964559.90255
2014,V3,35960454585
2015,V3,36306191445.44629
2016,V3,36643005648.17259
2017,V3,36970547018.17207
2018,V3,37285250018.565865
2019,V3,37587696141.54574
2020,V3,37816715748.31633
2021,V3,38094840409.23887
2022,V3,38359016486.38206
2023,V3,38611475356.57066
2024,V3,38846208345.48181
2025,V3,39074275463.70062
2026,V3,39282622117.49347
2027,V3,39483813962.50964
2028,V3,39665660476.10132
2029,V3,39848292689.458855
2030,V3,40020367078.67321
2031,V3,40182312116.28313
2032,V3,40334163804.68331
2033,V3,40471007794.096825
2034,V3,40605327036.181786
2035,V3,40731605027.38703
2036,V3,40850851880.32419
2037,V3,40963075926.48331
2038,V3,41070651138.922585
