Year,State,Total_Exp,Fire_Protection_Exp,Highway_Exp,Natural_Resources_Exp,Parks_Rec_Exp,Solid_Waste_Exp
1979,NE,4618.88896,31.32227186,400.9636248,91.43714104,45.62731334,16.48245054
1979,NH,2877.523652,47.04070408,313.0253026,24.04840484,29.86138614,16.73487349
1979,NJ,3900.042895,50.27093796,167.729062,15.97258043,73.96117822,27.30636622
1979,NM,3708.705059,38.11361868,398.4607004,82.18988327,57.91128404,30.82645914
1979,NV,4170.664053,83.25751634,397.7986928,46.9124183,104.8156863,6.039215686
1979,NY,5313.492778,63.61885806,212.363626,10.49203822,68.05459508,56.08462238
1979,OH,3308.353584,44.2272643,197.5958511,20.75828858,37.5047231,20.56695684
1979,OK,3019.020504,34.03966386,262.4383194,32.02621849,39.31831933,21.83394958
1979,OR,4170.559119,63.73338486,287.858578,80.27666151,67.11823802,8.100463678
1979,PA,3446.310902,26.69868776,164.9584455,23.262786,32.15831091,25.58882908
1979,RI,3700.468422,77.22105264,153.7494737,17.80631579,35.82526316,21.43578948
1979,SC,2950.629773,19.60582524,166.1022654,41.03106796,25.06731392,26.47055016
1979,SD,3399.943314,22.36627906,487.5116279,80.54651162,55.89534884,11.81104651
1979,TN,3273.264693,39.13464912,260.6416666,32.15350878,41.00394736,30.01622808
1979,TX,2997.132417,36.13076036,251.6124712,29.44124424,40.27952188,26.15552996
1979,US,3742.737396,45.83490006,245.8689421,41.95784429,52.52099571,26.64723668
1979,UT,3378.81338,34.38732394,270.5253522,75.1887324,50.89014085,19.7028169
1979,VA,3159.120761,36.89073098,341.1857574,25.47362472,37.70271288,25.56367746
1979,VT,3552.427722,28.74455446,350.4712872,78.42772278,29.95643564,6.114851486
1979,WA,4850.929816,54.81383774,332.1343952,87.75211548,69.24240916,28.26779492
1979,WI,4062.987401,46.55519966,325.9735212,40.84390348,56.75592569,28.1810805
1979,WV,3371.65242,22.03604532,507.1637488,37.5746653,44.14933058,14.1277034
1979,WY,4847.182819,31.07048458,659.3832599,117.7136564,74.32599119,22.47136564
1980,AK,14389.38557,135.7860697,1112.318408,515.2537314,135.1641791,102.0746269
1980,AL,3430.667951,34.9758603,266.1088854,39.84488957,34.08782742,30.73703134
1980,AR,2948.533683,20.69466316,355.519685,53.17147856,25.0472441,19.27296588
1980,AZ,4303.528698,46.7196468,314.1986754,72.07358352,67.56217808,39.1442237
1980,CA,5091.519689,70.14863952,189.4543688,90.36361332,86.94904513,23.63866824
1980,CO,4127.550174,48.34809688,328.1363322,52.983391,77.03183391,15.28373702
1980,CT,3713.368726,70.27670528,222.087516,16.53989704,52.04954955,27.57528958
1980,DC,8307.633228,202.6708464,235.6394984,0,82.68652038,78.8369906
1980,DE,4348.976431,26.4006734,317.7003367,48.92255893,59.9090909,29.41414142
1980,FE,2724.23702,0,1.915725725,131.2492827,7.345086649,0
1980,FL,3304.178021,48.39380258,241.565155,53.67576442,65.58095629,39.37040838
1980,GA,3547.762218,38.23796448,300.4008787,44.56635548,40.68057844,32.14570748
1980,HI,4401.303627,55.0031088,270.0124352,105.9398964,130.8518135,27.77202072
1980,IA,4199.723404,27.5188744,478.2086479,52.54495539,43.84420042,21.83939602
1980,ID,3407.348518,32.87923728,361.4576272,120.7987288,32.4809322,21.20127118
1980,IL,4005.617309,57.46932704,310.189551,23.63017414,72.65949068,30.094513
1980,IN,3147.210383,37.12604736,242.9795992,36.49945356,33.25428052,16.6557377
1980,KS,3863.255077,35.52707276,470.0998308,65.41962774,37.2927242,19.45431472
1980,KY,3601.823272,27.64709096,440.3228627,51.92133297,43.21496859,20.6479104
1980,LA,3801.552781,33.52591536,377.3480742,75.49690918,54.02187352,34.63242986
1980,MA,4712.156005,106.8018128,201.77863,12.32665156,42.6721283,27.08628202
1980,MD,4461.450082,57.90467156,303.6537824,32.12805312,83.94688166,44.08062604
1980,ME,3508.791111,49.04,354.0177778,82.57422222,30.24,15.93244444
1980,MI,4820.261066,51.80263442,272.1094796,46.37292162,66.2040596,28.4996761
1980,MN,4818.393523,34.18842002,437.8400392,63.3027478,105.7448479,14.03729146
1980,MO,3175.453326,37.62375432,283.9552572,42.58531624,49.01281269,15.60545048
1980,MS,3360.895677,23.79135264,390.9567632,63.87385958,31.75644586,26.00714002
1980,MT,4266.491741,30.80304956,621.2325286,154.025413,30.97839899,25.44091486
1980,NA,4231.617804,25.2409312,144.2418361,155.5673329,36.12625692,14.66385193
1980,NC,3367.354642,32.9850391,236.5430126,45.44202652,33.31179871,32.47942876
1980,ND,4314.941807,23.41500766,605.7519142,111.4578867,43.51301684,24.906585
1980,NE,5009.492994,40.32611464,458.2471338,98.05477708,46.60127388,18.69936306
1980,NH,3212.343105,51.98914224,340.6579804,28.2844734,39.63952226,18.60803474
1980,NJ,4211.689206,56.80651732,182.72315,23.80013578,78.48716904,28.33211134
1980,NM,4104.394474,42.15963162,387.8173446,80.71066768,65.71297006,31.352264
1980,NV,4876.21375,89.7225,470.7725,50.035,128.0475,6.565
1980,NY,5828.504044,71.15081444,228.8339218,12.19956715,68.36393666,56.68356304
1980,OH,3787.511669,49.29449898,211.891091,24.97184664,37.6588257,23.40507502
1980,OK,3493.207603,39.59206612,294.391405,37.76330579,49.28066116,25.3923967
1980,OR,4740.233955,70.65400684,359.3216863,105.1720471,64.03949868,12.09039119
1980,PA,3861.818948,29.8943021,177.0006743,26.60384356,30.60013487,25.31237356
1980,RI,4190.691658,86.92925026,174.998944,19.51847941,39.97888068,23.68321014
1980,SC,3262.631326,22.13324792,183.6053812,44.1326073,28.95067264,28.33440102
1980,SD,3783.486252,23.24457308,595.3053546,93.02749638,45.38060782,19.26193922
1980,TN,3768.081246,42.35591374,299.953387,34.11239381,44.34894358,33.42409062
1980,TX,3426.133881,39.90934008,315.8584581,53.06346194,44.05299038,28.63616558
1980,US,4208.379982,50.4818624,284.8975916,48.68759634,57.57824144,29.32770386
1980,UT,3925.808351,40.57221082,382.3039014,85.41683778,60.87200548,18.74058864
1980,VA,3459.462314,42.72377034,342.37853,27.24181784,41.01365252,31.98690854
1980,VT,3828.18591,29.12720156,392.367906,75.61252446,33.97651664,7.741682974
1980,WA,5505.646418,56.15150048,337.2381414,89.60454986,69.96999032,27.4787028
1980,WI,4530.464514,51.93030174,389.8920527,47.98257543,61.8839779,31.48958776
1980,WV,3811.411282,21.9251282,612.3979487,45.85641026,49.28205128,15.67897436
1980,WY,5804.757447,35.70638298,764.4638298,130.6638298,100,32.83404256
1981,AK,16717.83971,141.2248804,1252.454545,774.6555024,153.84689,119.4162679
1981,AL,3726.76244,37.08190866,316.7935698,43.66675173,43.1405971,36.56238836
1981,AR,3217.072831,22.9646751,361.6450066,55.79502835,24.757959,20.98124728
1981,AZ,4696.60178,52.63772242,333.5814946,90.486121,64.38932384,43.91672598
1981,CA,5721.614757,77.2043976,195.9311538,106.0286585,92.98443548,25.98089434
1981,CO,4623.188046,52.55809268,320.2424446,61.04298186,79.79583614,17.56883815
1981,CT,4054.487057,76.67689358,232.8590604,16.96516459,42.92361776,32.01853628
1981,DC,8911.22763,133.4160126,242.6405024,0,82.03139718,94.90423862
1981,DE,5030.877517,26.27852348,370.2248322,68.76510068,79.27181208,28.67114094
1981,FE,3134.446933,0,1.333530893,163.0916999,6.41489371,0
1981,FL,3620.989601,51.50691652,232.8217404,64.00569018,75.75983518,44.61218484
1981,GA,3916.927263,41.53125,272.400862,45.08692528,44.96479886,37.1321839
1981,HI,4836.394683,62.47239264,295.9345604,94.46216769,139.9325153,39.18609406
1981,IA,4469.861074,31.22352132,478.9387895,60.48074278,47.196011,24.62448418
1981,ID,3665.694386,33.48024948,354.8877338,134.964657,33.6070686,23.71309772
1981,IL,4541.68767,67.73381106,318.5741502,26.0803985,85.577034,30.2758018
1981,IN,3625.557665,39.21715328,239.420073,45.85839416,31.87262774,17.45072993
1981,KS,4345.24109,41.90104822,481.3232705,71.04654088,41.4591195,20.98616352
1981,KY,3803.785013,30.42179836,362.439782,54.57057221,42.37547684,23.68882834
1981,LA,4407.510157,38.2386178,420.8685501,87.68900304,57.35792668,38.26476768
1981,MA,5095.011613,113.482406,223.9691454,14.29641186,47.66822672,29.36349454
1981,MD,4725.230877,61.33364618,287.0746128,41.88456124,78.17785078,56.90380104
1981,ME,3762.827008,53.16504854,321.0944396,86,31.04501324,24.03883496
1981,MI,5109.679987,58.10967532,252.3474862,40.48561191,60.90520143,31.70376806
1981,MN,5346.883755,40.70379378,430.0865758,70.9061284,94.7422179,16.97519455
1981,MO,3486.998175,38.72668288,273.5454176,40.61759935,44.03690186,17.77412814
1981,MS,3706.094919,27.4013391,390.653013,66.63883419,29.19417094,31.25640016
1981,MT,4533.693082,31.9572327,631.2226416,155.1018868,34.91320754,28.99622642
1981,NA,4836.508951,27.61089225,147.2965014,190.0031508,37.19841719,16.45916606
1981,NC,3742.467181,32.88668794,212.1423536,52.41295954,34.71109618,35.53701528
1981,ND,4561.818182,26.3909091,542.3939394,128.7666667,44.11818182,28.17878788
1981,NE,5415.0114,39.51614946,452.1139962,107.6580114,46.11146296,18.5180494
1981,NH,3548.073639,57.32337246,338.2646744,30.04909285,31.9850587,21.89541088
1981,NJ,4816.743351,61.49210206,179.9611179,32.6836776,90.88942892,29.56122586
1981,NM,4541.471868,48.34658664,411.1702926,87.6024006,64.51312828,29.73293324
1981,NV,5053.60849,101.3632075,474.5966981,55.00471698,160.6863208,6.964622642
1981,NY,6443.360029,78.52857468,273.8006603,12.36623406,72.49168944,65.6454918
1981,OH,4273.971542,55.0839822,215.4757138,26.14608825,42.65832406,27.21116054
1981,OK,3875.564599,43.41731266,329.8972868,38.89405685,53.92635659,29.63565892
1981,OR,5239.546476,77.53823088,372.0577212,98.7706147,74.96026986,11.24587706
1981,PA,4271.35745,30.06088204,226.3278522,29.19554769,33.89459483,25.27447508
1981,RI,4502.815321,97.38509968,200.610703,23.87827912,47.94963274,27.67471144
1981,SC,3773.710287,30.01698648,181.2060396,48.35608682,26.62032086,29.10537906
1981,SD,4153.895652,27.69855072,607.5420289,106.4376812,54.59710145,14.55362319
1981,TN,4158.960891,47.89369058,290.6145204,33.00864304,43.46326708,38.5315471
1981,TX,3684.322596,43.23789502,334.7363352,42.78367014,50.68832226,31.30598128
1981,US,4654.096975,55.2217845,292.1644353,53.88021771,61.58316659,32.91833212
1981,UT,4280.368317,38.28514852,367.8759076,85.41782179,68.89768976,22.83564356
1981,VA,3822.452057,51.08155768,321.2031594,28.7564291,46.55657604,35.01249082
1981,VT,4178.728682,30.74031008,357.7635659,77.85271318,31.63178294,8.15503876
1981,WA,6319.592305,64.63692162,373.7497639,117.7110482,74.71529746,35.7884797
1981,WI,4942.390181,54.4858231,396.9792636,51.79305967,67.35505713,39.694033
1981,WV,4155.248209,24.65097236,541.8065506,52.80655066,49.0174002,15.95701126
1981,WY,6650.416667,38.78455284,870.9674797,149.699187,147.9430894,36.9593496
1982,AK,19739.87556,177.4666667,1376.817778,895.6044445,258.8177778,161.0577778
1982,AL,4085.595924,41.04152866,283.1026752,45.17095542,42.23592356,38.32815286
1982,AR,3328.497821,25.83086312,278.934612,62.75675676,30.07323452,22.7707062
1982,AZ,4855.874394,57.38754326,314.184083,97.15570934,70.81176471,48.29550174
1982,CA,5986.10415,86.47203868,185.3956487,107.1165189,98.03835616,28.41450444
1982,CO,5073.732201,61.30437622,340.2540823,67.19007184,92.41541476,18.67798824
1982,CT,4368.887544,85.7820962,254.6855686,16.10831475,44.0070086,35.10226186
1982,DC,10157.74132,147.6687697,277.2492114,0,82.82649842,105.9716088
1982,DE,5217.672788,28.58430718,369.9866445,83.76961602,71.91986645,21.66611018
1982,FE,3438.09569,0,2.486359555,168.23503,5.935320119,0
1982,FL,4100.549995,60.4307134,246.6900964,66.05386306,89.86018527,58.19635182
1982,GA,4321.603363,45.73557522,361.8838938,47.28176991,44.95787611,36.64424778
1982,HI,5148.756539,66.64386318,288.247485,92.66599598,129.195171,39.19517102
1982,IA,4799.716066,33.6668975,456.898892,63.97229917,50.4168975,23.89265928
1982,ID,3927.017454,40.52772074,343.677618,140.9322382,34.55441478,33.90349076
1982,IL,4662.747789,65.68537162,275.5143132,25.56456272,85.06661997,27.28215004
1982,IN,3781.730249,45.22823702,224.9001464,38.10424287,32.30943672,14.32150695
1982,KS,4475.679716,45.40441482,410.5639316,79.91170346,44.03248647,23.99750104
1982,KY,3805.013304,35.37822428,320.4919902,65.74423024,41.39342926,24.12652728
1982,LA,4852.442223,43.84194808,346.0385941,109.7119228,70.96668964,38.62439696
1982,MA,5292.721712,109.8301854,201.5765032,15.91370646,50.37081961,28.15179346
1982,MD,5008.207565,67.71888862,375.7478403,46.08545412,80.94373102,50.5117908
1982,ME,4079.557608,55.03254178,355.6165348,95.66051012,27.85576078,22.48548812
1982,MI,5428.150082,61.81151948,226.5827756,36.82106418,54.90729566,27.60416896
1982,MN,5961.935851,44.30307432,446.368918,75.82425563,104.0624546,18.59307674
1982,MO,3553.142423,49.69973626,252.9032258,46.63907486,41.09717995,17.31629134
1982,MS,3943.307783,31.02463824,405.0582714,76.92061008,27.88423934,32.0211185
1982,MT,4770.208955,38.67412936,510.2537314,185.1343284,38.96517413,37.9676617
1982,NA,5323.500781,30.32649009,146.7243767,196.582624,38.31536622,17.84483131
1982,NC,3931.877222,34.7791992,203.9049676,55.68466522,43.26732015,37.6673866
1982,ND,5186.884903,30.87892376,578.1464872,145.799701,51.9103139,22.40358744
1982,NE,5677.39507,44.33501896,461.3147914,110.8508218,52.60303414,20.39823008
1982,NH,3782.062237,67.17088608,363.2721519,32.84388186,32.47046414,32.33544304
1982,NJ,5080.716592,62.9506123,221.3777419,29.33548647,87.85547033,31.80944692
1982,NM,5283.378299,53.97800586,523.0410558,92.91935484,70.79618769,35.05865102
1982,NV,5432.157596,121.2267574,392.9727892,63.53514739,131.0408163,4.612244898
1982,NY,6996.312564,85.61375782,267.0455941,15.1523593,75.90233086,73.52666288
1982,OH,4493.957609,59.61624988,223.8348982,28.0628428,45.1391652,29.07650832
1982,OK,4417.24922,48.32189644,306.628821,46.00062384,74.79600748,31.45040548
1982,OR,5639.196998,87.77110694,385.2075046,101.756848,70.6183865,17.24803002
1982,PA,4463.785901,32.01975518,257.4585057,31.98750528,34.61713803,27.54546222
1982,RI,4951.584906,110.9140461,192.7044025,23.55136268,44.6226415,25.14255766
1982,SC,3980.61409,32.56733168,135.9077307,50.10723192,27.45698254,33.16022444
1982,SD,4183.939218,27.74819102,556.9030391,138.5701881,55.52821997,19.0593343
1982,TN,4334.944038,49.7920792,264.0348688,31.29659923,53.84330606,45.24365046
1982,TX,3961.413737,48.71071684,358.7022373,48.0787946,51.07598982,34.51425216
1982,US,4959.479827,60.65298018,288.7020265,56.75636564,64.77622156,35.68966262
1982,UT,4801.768935,49.31322208,311.9062902,72.2631579,72.80359436,25.92554558
1982,VA,3969.012561,57.90642636,279.4432915,28.65173858,47.04860732,40.19370108
1982,VT,4915.277457,38.63969172,435.3063584,106.3545279,32.97109826,11.10982659
1982,WA,6842.14613,80.02010756,340.7509937,92.76969838,81.9490297,35.74468086
1982,WI,5142.755551,60.44068514,406.58321,56.65552972,72.75407062,58.04398392
1982,WV,4295.486667,27.11179488,471.7825641,59.0974359,39.59179488,16.52
1982,WY,7852.630435,59.18577076,946.0750988,166.8300395,154.4743083,52.39130434
1983,AK,21972.96721,223.6803278,1455.188525,1006.372951,361.2377049,186.9221311
1983,AL,4393.678444,41.62531774,325.5973563,49.42907981,39.67158108,40.59328928
1983,AR,3446.644406,27.53772766,293.002602,61.57502168,27.62619254,23.70078058
1983,AZ,5397.655102,62.01077804,304.8669586,85.80262714,67.57696194,46.4829909
1983,CA,6179.358084,88.3230284,197.8353312,109.0983438,100.6981073,30.02358044
1983,CO,5469.009892,59.15379706,366.074665,80.37332483,97.59731972,19.47862157
1983,CT,4783.522771,91.2340291,252.8697028,22.20746364,47.22643896,36.27008222
1983,DC,10143.76266,165.7183544,216.9272152,0,143.2974684,101.0632911
